Player,Age,Team,Pos,G,GS,MP,MPG,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary,Pos_C,Pos_PF,Pos_PG,Pos_SF,Pos_SG,Awards
Evan Mobley,23,CLE,PF,8,8,257,32.125,22.7,0.699,0.356,0.287,9,20.2,14.4,7.7,1.7,3.2,10.1,18.2,0.9,0.4,1.2,0.232,4.7,0.9,5.7,0.5,46394100,0,1,0,0,0,1
Ivica Zubac,27,LAC,C,7,7,256,36.57142857,20.9,0.653,0,0.317,12.2,20.6,16.3,9.9,1,2.4,10.5,18.9,0.7,0.2,0.9,0.169,1.4,0.7,2.1,0.3,19500000,1,0,0,0,0,0
Max Strus,28,CLE,SF,9,9,253,28.11111111,16.2,0.573,0.753,0.067,7,16.3,11.5,19.6,1.2,0.8,7.1,16.7,0.7,0.2,0.9,0.176,3.2,1,4.2,0.4,17500000,0,0,0,1,0,0
Cade Cunningham,23,DET,PG,6,6,248,41.33333333,17.5,0.509,0.217,0.326,2.9,19.6,11.5,37.9,2.2,2.7,17.8,31.2,-0.1,0.4,0.3,0.061,1.1,2,3.1,0.3,46394100,0,0,1,0,0,1
Norman Powell,31,LAC,SG,7,7,238,34,13,0.578,0.449,0.202,0.5,8,4.2,10.7,1.7,0.7,11,21.2,0.1,0.1,0.2,0.047,-1.1,0.1,-1,0.1,21551724,0,0,0,0,1,0
Tobias Harris,32,DET,PF,6,6,233,38.83333333,14,0.602,0.324,0.225,4.1,18,11.3,2,1.3,2.5,7.1,15.5,0.3,0.3,0.6,0.132,0.4,1.6,2,0.2,27705357,0,1,0,0,0,0
Amen Thompson,22,HOU,SF,7,7,231,33,19.3,0.545,0.047,0.424,9.3,13.7,11.5,17.1,2.7,2.9,10.6,21.6,0.4,0.3,0.7,0.148,1.5,2.2,3.7,0.3,10125000,0,0,0,1,0,0
Jalen Green,22,HOU,SG,7,7,219,31.28571429,11.6,0.482,0.512,0.279,1.5,17.5,9.6,14.8,0.9,1,9.4,21.5,0,0.2,0.2,0.045,-1.1,-0.5,-1.5,0,34944001,0,0,0,0,1,0
Isaiah Joe,25,OKC,SG,21,0,211,10.04761905,17.4,0.676,0.767,0.192,3.6,11.4,7.5,9.8,1.6,0.9,8.1,17.3,0.6,0.3,0.8,0.192,3.5,2.1,5.6,0.4,12947835,0,0,0,0,1,0
Dillon Brooks,29,HOU,SF,7,7,206,29.42857143,11.7,0.585,0.46,0.381,4.9,6.9,5.9,6.9,1.3,1.1,10.9,17.7,0.3,0.1,0.4,0.1,-2.1,0.4,-1.7,0,22410605,0,0,0,1,0,0
LeBron James,40,LAL,SF,5,5,204,40.8,25.5,0.601,0.318,0.455,7,18.3,12.8,26.9,2.6,4.3,11,27.2,0.6,0.2,0.8,0.198,6.9,2.7,9.5,0.6,52627153,0,0,0,1,0,1
Paolo Banchero,22,ORL,PF,5,5,197,39.4,20.3,0.517,0.218,0.331,6.5,19.6,12.5,22.8,0.8,2.1,9.6,36.4,0.1,0.1,0.2,0.039,5,0.4,5.3,0.4,41500000,0,1,0,0,0,0
Austin Reaves,26,LAL,SG,5,5,196,39.2,9.4,0.532,0.644,0.096,2.4,13.3,8,16.2,0.3,1.5,15.5,21.5,-0.1,0,0,-0.011,-1.7,-2,-3.7,-0.1,14000000,0,0,0,0,1,0
Franz Wagner,23,ORL,SF,5,5,195,39,19.1,0.51,0.322,0.226,1.6,13.9,7.2,29.9,1.6,1.1,7.3,32,0.1,0.1,0.2,0.058,3.3,1.3,4.6,0.3,38661750,0,0,0,1,0,0
Moses Moody,22,GSW,SG,12,2,193,16.08333333,12.4,0.486,0.563,0.213,5,10.5,7.7,11.7,1.6,1.4,4.4,20.9,0.1,0.2,0.3,0.071,-0.2,-0.2,-0.5,0.1,12350392,0,0,0,0,1,0
Ty Jerome,27,CLE,SG,9,1,191,21.22222222,15.5,0.521,0.391,0.217,2.9,10.5,6.6,25.5,1.3,0.5,9.8,25.1,0.3,0.2,0.4,0.111,1,-1.2,-0.2,0.1,9219512,0,0,0,0,1,0
Giannis Antetokounmpo,30,MIL,PF,5,5,188,37.6,33.2,0.651,0.051,0.636,11,38,23.6,35.6,1.3,2.6,15.4,35.3,0.8,0.1,0.9,0.232,8.2,3.2,11.4,0.6,54126450,0,1,0,0,0,1
Jonathan Kuminga,22,GSW,PF,8,1,187,23.375,16.5,0.572,0.269,0.333,4.1,8.3,6.1,10.2,1.1,2,10.9,28.2,0.1,0.1,0.2,0.061,1.2,-0.4,0.8,0.1,24900000,0,1,0,0,0,0
De'Andre Hunter,27,CLE,SF,8,0,185,23.125,13.7,0.591,0.413,0.413,3.6,14.7,8.9,6.1,1.1,0.5,8.6,18.8,0.3,0.2,0.5,0.127,-0.6,-0.4,-1,0,24737010,0,0,0,1,0,0
Rui Hachimura,26,LAL,PF,5,5,182,36.4,12.2,0.634,0.544,0.053,2.6,11.8,7.3,4.8,0.9,1.6,10.7,16.8,0.2,0.1,0.2,0.06,0.7,-0.3,0.4,0.1,19000000,0,1,0,0,0,0
Luke Kornet,29,BOS,C,11,1,180,16.36363636,17.5,0.769,0,0.276,10.3,16.3,13.4,4.3,1.7,6.6,13.3,9.5,0.5,0.4,0.8,0.221,0.3,3.3,3.6,0.3,11550000,1,0,0,0,0,0
