Player,Age,Team,Pos,G,GS,MP,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,
Gabe Vincent,28,LAL,PG,5,0,99,19.8,1.8,5.1,0.357,1.5,4.7,0.308,0.4,0.4,1,0.5,0,0,,0,1.8,1.8,1.8,0.4,0.7,0.4,2.9,5.1,,
Anthony Black,21,ORL,PG,5,0,89,17.8,6.1,15,0.405,0.8,5.3,0.154,5.3,9.7,0.542,0.432,3.6,5.3,0.692,4,4.9,8.9,0,1.6,0.4,0.8,3.2,16.6,,
Julian Strawther,22,DEN,SG,9,0,88,9.777777778,5.3,12.3,0.433,2.5,4.9,0.5,2.9,7.4,0.389,0.533,2.5,2.9,0.857,1.6,2,3.7,0.8,0.8,0.4,2,4.5,15.5,,
Ajay Mitchell,22,OKC,SG,12,0,84,7,6.9,15,0.457,2.1,5.6,0.385,4.7,9.4,0.5,0.529,1.7,2.1,0.8,1.3,2.6,3.9,3.9,0.9,0,2.6,3,17.6,,
Haywood Highsmith,28,MIA,SF,4,0,84,21,4.7,8.1,0.579,3,6.4,0.467,1.7,1.7,1,0.763,0,0,,1.7,3.9,5.6,1.7,1.3,0.9,1.7,4.7,12.4,,
Landry Shamet,27,NYK,SG,11,0,83,7.545454545,3.9,8.7,0.45,3,6.5,0.467,0.9,2.2,0.4,0.625,0.4,1.7,0.25,0,1.7,1.7,3.5,0.4,0,1.7,2.2,11.3,,
Gary Harris,30,ORL,SG,5,0,83,16.6,1.3,3.5,0.375,0.4,2.6,0.167,0.9,0.9,1,0.438,0,0,,0.4,1.7,2.2,1.3,1.3,0.4,0,3,3,,
Ja Morant,25,MEM,PG,3,3,82,27.33333333,9.7,23.3,0.415,1.8,7,0.25,7.9,16.2,0.486,0.453,3.1,4.8,0.636,0.4,2.2,2.6,6.6,0.9,0.9,2.6,1.3,24.1,,
Trayce Jackson-Davis,24,GSW,C,9,3,80,8.888888889,7.2,8.1,0.889,0,0,,7.2,8.1,0.889,0.889,2.3,5.9,0.385,4.1,5.4,9.5,0.9,1.4,0.9,0.5,6.8,16.7,,
Luke Kennard,28,MEM,SG,4,0,80,20,3.6,8.1,0.444,0.9,4.1,0.222,2.7,4.1,0.667,0.5,0,0,,0.9,5.4,6.3,3.6,1.8,0.5,2.7,1.4,8.1,,
Tony Bradley,27,IND,C,11,0,78,7.090909091,1.8,4.2,0.444,0,0.5,0,1.8,3.7,0.5,0.444,4.2,5.5,0.75,5.1,4.6,9.7,1.4,0,0.5,1.8,4.6,7.8,,
Nikola Jović,21,MIA,PF,4,0,75,18.75,6.2,16.8,0.371,2.9,11.5,0.25,3.4,5.3,0.636,0.457,2.9,2.9,1,1.9,5.8,7.7,2.9,1.4,0.5,2.4,1,18.2,,
Damian Lillard,34,MIL,PG,3,3,75,25,2.9,13,0.222,1.4,7.7,0.188,1.4,5.3,0.273,0.278,2.9,3.4,0.857,0.5,3.4,3.8,6.7,1,1,1.4,3.8,10.1,,
Brook Lopez,36,MIL,C,5,4,74,14.8,3.9,10.7,0.364,1.9,7.3,0.267,1.9,3.4,0.571,0.455,2.4,2.4,1,1.5,2.4,3.9,1.9,0.5,2.4,1.9,5.4,12.2,,
Kel'el Ware,20,MIA,C,4,4,73,18.25,3.9,8.9,0.444,1.5,5.4,0.273,2.5,3.5,0.714,0.528,0,0,,2,7.4,9.4,2,0.5,1,1,1.5,9.4,,
Gui Santos,22,GSW,PF,10,0,72,7.2,4.5,8.5,0.529,2,5,0.4,2.5,3.5,0.714,0.647,2,3,0.667,1.5,4.5,6,4,1.5,0.5,3,5,13,,
Jonathan Isaac,27,ORL,PF,5,0,69,13.8,3.7,6.3,0.583,0.5,2.1,0.25,3.1,4.2,0.75,0.625,1.6,2.6,0.6,2.6,2.6,5.2,1,1,0.5,1,1.6,9.4,,
John Konchar,28,MEM,SG,4,0,69,17.25,1.6,4.7,0.333,0.5,3.1,0.167,1,1.6,0.667,0.389,2.1,2.1,1,1.6,5.2,6.8,3.1,1,1,1,4.2,5.7,,
Pat Spencer,28,GSW,PG,8,0,63,7.875,9.1,14.3,0.64,0.6,1.7,0.333,8.6,12.6,0.682,0.66,1.7,1.7,1,2.9,3.4,6.3,3.4,1.7,0,3.4,5.1,20.6,,
Taurean Prince,30,MIL,SF,5,2,61,12.2,1.2,5.9,0.2,1.2,5.3,0.222,0,0.6,0,0.3,0,0,,0,3,3,4.7,1.2,0.6,3,1.8,3.5,,
Jarred Vanderbilt,25,LAL,PF,5,0,60,12,1.2,3.6,0.333,0,0.6,0,1.2,3,0.4,0.333,1.8,2.4,0.75,2.4,9,11.4,3,1.8,0.6,1.8,5.4,4.2,,
Duncan Robinson,30,MIA,SF,4,0,59,14.75,3.1,8.5,0.357,2.4,7.3,0.333,0.6,1.2,0.5,0.5,1.8,2.4,0.75,0,2.4,2.4,0.6,0,0,3.7,3.7,10.4,,
Jericho Sims,26,MIL,C,5,0,58,11.6,3.7,3.7,1,0,0,,3.7,3.7,1,1,1.2,1.9,0.667,6.8,5.6,12.4,0.6,0,0.6,3.1,3.1,8.7,,
Terrence Shannon Jr.,24,MIN,SG,9,0,57,6.333333333,8.2,17.1,0.481,1.9,5.1,0.375,6.3,12,0.526,0.537,7.6,7.6,1,0.6,5.7,6.3,1.9,2.5,0,1.9,5.7,25.9,,
Jalen Pickett,25,DEN,SG,8,0,57,7.125,3.2,9.5,0.333,1.9,5.7,0.333,1.3,3.8,0.333,0.433,0,0,,0,4.4,4.4,3.2,0,0.6,3.8,1.9,8.2,,
Paul Reed,25,DET,C,5,0,53,10.6,3.4,5.4,0.625,0,0,,3.4,5.4,0.625,0.625,2.7,4.1,0.667,4.8,5.4,10.2,0.7,3.4,2,3.4,5.4,9.5,,
Pelle Larsson,23,MIA,SG,4,0,52,13,5.5,10.4,0.533,2.1,5.5,0.375,3.5,4.8,0.714,0.633,0.7,2.1,0.333,1.4,4.8,6.2,2.8,0.7,0,1.4,4.2,13.8,,
Cole Anthony,24,ORL,PG,5,0,51,10.2,2.8,9.9,0.286,0,4.2,0,2.8,5.6,0.5,0.286,2.1,2.8,0.75,2.1,2.8,4.9,4.2,0,0.7,6.4,8.5,7.8,,
Delon Wright,32,NYK,PG,6,0,48,8,1.5,6.8,0.222,0.7,4.5,0.167,0.7,2.3,0.333,0.278,1.5,1.5,1,0.7,0.7,1.5,3.7,2.3,0.7,0.7,0,5.2,,
